City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
31,te anau,-45.4167,167.7167,60.53,40,39,2.86,NZ,1677887014
32,chokurdakh,70.6333,147.9167,-37.8,100,62,3.42,RU,1677887015
33,spassk,52.747,87.7545,18.19,84,72,7.38,RU,1677887016
34,vanavara,60.34,102.2797,10.0,98,100,1.3,RU,1677887017
35,itacoatiara,-3.1431,-58.4442,75.58,96,82,3.96,BR,1677887018
36,rameswaram,9.2833,79.3,79.47,71,17,18.54,IN,1677887019
37,atasu,48.6814,71.6433,3.83,96,93,6.89,KZ,1677887020
38,faanui,-16.4833,-151.75,82.18,71,85,3.15,PF,1677887021
39,musafirkhana,26.3667,81.8,67.17,38,0,7.63,IN,1677887022
40,saint-denis,48.9167,2.3333,38.14,85,0,10.36,FR,1677887023
41,palu,-0.8917,119.8707,78.91,85,97,1.36,ID,1677887024
42,tiksi,71.6872,128.8694,-10.53,99,100,6.98,RU,1677887025
43,pacific grove,36.6177,-121.9166,59.22,76,0,10.36,US,1677887027
44,pocoes,-14.5297,-40.3653,66.16,95,27,7.47,BR,1677887028
45,victor harbor,-35.5667,138.6167,66.0,71,42,3.91,AU,1677887029
46,asfi,32.2994,-9.2372,55.89,79,1,10.36,MA,1677887030
47,arraial do cabo,-22.9661,-42.0278,77.02,86,8,24.18,BR,1677887032
48,ayan,56.45,138.1667,2.03,83,82,3.47,RU,1677887033
49,lagoa,39.05,-27.9833,56.12,78,100,19.82,PT,1677887034
50,cabedelo,-6.9811,-34.8339,81.27,77,92,11.86,BR,1677887035
51,kununurra,-15.7667,128.7333,80.58,83,91,0.0,AU,1677887036
52,mancio lima,-7.6142,-72.8958,82.47,89,75,0.0,BR,1677887037
53,talnakh,69.4865,88.3972,0.95,96,100,3.65,RU,1677887038
54,ostrovnoy,68.0531,39.5131,6.8,98,93,7.99,RU,1677887039
55,henties bay,-22.116,14.2845,62.82,87,0,9.24,NA,1677887039
56,souillac,-20.5167,57.5167,75.58,88,40,4.61,MU,1677887040
57,wanning,18.8003,110.3967,65.73,82,27,5.3,CN,1677887041
58,longhua,23.6137,114.1919,64.67,58,98,3.24,CN,1677887042
59,healesville,-37.65,145.5167,75.36,48,100,6.06,AU,1677887043
60,aras,42.5617,-2.356,37.72,87,20,5.75,ES,1677887045
61,payo,-3.7508,103.6372,70.12,96,91,2.44,ID,1677887046
62,cherskiy,68.75,161.3,-26.55,89,40,3.74,RU,1677887047
63,goderich,43.7501,-81.7165,34.92,75,100,24.16,CA,1677887048
64,kirakira,-10.4544,161.9205,85.35,66,98,14.65,SB,1677887050
65,mragowo,53.8644,21.3051,33.8,77,83,17.45,PL,1677887051
66,tuktoyaktuk,69.4541,-133.0374,-25.6,68,0,2.3,CA,1677887053
67,coihaique,-45.5752,-72.0662,49.95,50,75,4.61,CL,1677887054
68,bambous virieux,-20.3428,57.7575,77.22,88,40,4.61,MU,1677887055
69,krasnoye,49.9145,24.6134,31.24,84,63,11.54,UA,1677887056
70,vallenar,-28.5708,-70.7581,71.87,54,0,4.32,CL,1677887057
71,hokitika,-42.7167,170.9667,64.15,65,60,14.03,NZ,1677887058
72,tuatapere,-46.1333,167.6833,57.88,58,57,8.25,NZ,1677887060
73,qaanaaq,77.484,-69.3632,-3.95,48,5,8.84,GL,1677887060
74,leningradskiy,69.3833,178.4167,-25.98,95,70,5.08,RU,1677887062
